Rank,Pos,Number,Inactive,Rookie,Name,Team,GP,G,A,PTS,PM,PIM,PPG
365,C,9,,*,"McCallum, Landon",SBY,52,2,4,6,-14,25,0
366,D,24,,,"Jakovljevic, Marko",SAR,59,2,4,6,-27,76,0
367,D,53,,*,"Mancini, Roberto",SAG,38,1,5,6,-2,16,0
368,LW,21,,*,"Machacek, Stepan",OS,39,1,5,6,-8,44,0
369,D,14,,,"Lemieux, Ian",BAR,49,1,5,6,-18,6,0
370,C,6,,*,"Maillet, Jacob",GUE,51,1,5,6,1,4,0
371,D,7,,,"Wawrow, Drew",SOO,56,1,5,6,1,22,0
372,C,73,,*,"DelBelBelluz, Luca",MISS,58,1,5,6,-13,8,0
373,LW,16,,*,"Johnston, Thomas",OTT,58,1,5,6,-2,36,0
374,D,3,,,"Has, Martin",GUE,21,0,6,6,-9,6,0
375,LW,89,,,"Resnick, Cole",OSH,30,0,6,6,-2,0,0
376,D,4,,*,"Deline, Tyler",FLNT,43,0,6,6,-9,23,0
377,D,5,,,"Schlueting, Pacey",NB,56,0,6,6,-33,32,0
378,C,18,,*,"Stubbs, Michael",MISS,40,4,1,5,-1,13,1
379,LW,24,,*,"Humphrey, Ryan",HAM,43,3,2,5,-7,23,1
380,D,57,,,"Sredl, Matthew",BAR,51,3,2,5,-21,30,1
381,LW,17,,,"Mercer, Kallaway",KGN,36,2,3,5,-11,6,0
382,C,20,,,"Wilson, Griffin",OS,36,2,3,5,-5,2,0
383,RW,18,,,"Dickerson, Graham",KIT,40,2,3,5,-5,26,0
384,RW,88,,*,"Duarte, Mark",HAM,27,1,4,5,1,10,0
385,RW,22,,*,"O'Donnell, Justin",SAR,44,1,4,5,-20,8,0
386,D,16,,,"Caron, Phil",SBY,9,0,5,5,3,8,0
387,D,5,,*,"Haché, Braden",KGN,29,0,5,5,1,15,0
388,D,7,,,"Spearing, Shawn",PBO,45,0,5,5,5,21,0
389,C,25,,*,"Young, Davis",HAM,12,3,1,4,-1,0,0
390,LW,12,,*,"Campbell, David",NB,27,2,2,4,-7,4,0
391,LW,16,,*,"LeSage, Logan",OS,21,1,3,4,0,15,0
392,D,28,,*,"Sharpe, Chas",MISS,29,1,3,4,9,6,0
393,RW,32,,,"McSorley, Tye",OSH,36,1,3,4,1,36,0
394,RW,17,,*,"Saye, Owen",SAR,41,1,3,4,-3,45,0
395,C,45,,*,"Larmand, Ethan",SBY,42,1,3,4,-13,19,0
396,G,35,,,"Daws, Nico",GUE,38,0,4,4,0,2,0
397,RW,28,,*,"Watson, Kalvyn",SOO,39,3,0,3,-3,15,0
398,LW,8,,*,"Korpialho, Niki",NB,15,2,1,3,-6,0,0
399,C,77,,*,"Giroux, Zacharie",FLNT,5,1,2,3,0,4,0
400,LW,13,,,"Robinson, Dylan",OTT,11,1,2,3,-2,8,0
401,C,17,,*,"Stevens, Christian",NB,22,1,2,3,-4,11,0
402,D,10,,*,"White, Gavin",HAM,25,1,2,3,-6,4,0
403,C,16,,*,"McGurn, Sean",LDN,38,1,2,3,-1,2,0
404,D,4,,*,"Ribau, Nathan",SBY,40,1,2,3,-11,18,0
405,D,22,,,"Gretz, Marcus",FLNT,42,1,2,3,6,15,0
406,LW,62,,,"Panwar, Sahil",LDN,48,1,2,3,-3,10,0
407,D,2,,,"Brand, Evan",KGN,57,1,2,3,-19,57,0
408,D,4,,,"Reesor, Ashton",SAR,7,0,3,3,-1,8,0
409,D,2,,,"Kischnick, Brendan",ER,29,0,3,3,-2,36,0
410,LW,10,,*,"Rolofs, Stuart",LDN,31,0,3,3,3,2,0
411,C,18,,,"Campbell, Ryan",NIAG,34,0,3,3,-10,6,0
412,D,3,,*,"Thompson, Ryan",NB,43,0,3,3,-9,38,0
413,G,32,,,"Popovich, Anthony",FLNT,47,0,3,3,0,2,0
414,G,27,,,"Edmonds, Kai",MISS,54,0,3,3,0,0,0
415,LW,12,,,"DeGurse, Nolan",SAR,3,1,1,2,1,2,0
416,C,2,,*,"DeGrazia, Nick",SBY,4,1,1,2,-1,0,0
417,C,89,,*,"Bressette, Brett",ER,8,1,1,2,-3,0,0
418,RW,8,,*,"Sirizzotti, Brenden",OTT,9,1,1,2,1,4,0
419,D,3,,,"Whittaker, Liam",OSH,26,1,1,2,-2,6,0
420,RW,17,,*,"Zagrzebski, Trey",BAR,43,1,1,2,-4,9,0
421,D,24,,*,"Guryev, Artem",PBO,14,0,2,2,3,4,0
422,D,17,,*,"Halushak, Matthew",SOO,26,0,2,2,-5,14,0
423,G,30,,,"Lennox, Tristan",SAG,33,0,2,2,0,6,0
424,D,58,,*,"Montgomery, Bryce",LDN,33,0,2,2,3,9,0
425,D,73,,*,"Harper, Jack",FLNT,39,0,2,2,-4,4,0
426,G,68,,,"Ingham, Jacob",KIT,46,0,2,2,0,2,0
427,D,2,,*,"Cato, Landon",NIAG,50,0,2,2,-30,54,0
428,G,1,,,"Guzda, Mack",OS,51,0,2,2,0,2,0
429,RW,13,,*,"Bowers, Rylan",MISS,3,1,0,1,0,0,1
430,LW,10,,*,"Dvurechenskii, Vladislav",BAR,9,1,0,1,-4,0,1
431,C,9,,,"Trolley, Curtis",PBO,12,1,0,1,-1,4,0
432,C,74,,*,"Biondi, Giordano",SBY,13,1,0,1,0,0,0
433,LW,8,,*,"Bulovs, Sebastian",SAG,16,1,0,1,1,2,0
434,C,19,,*,"Sikic, Marko",GUE,48,1,0,1,-7,0,0
435,RW,29,,,"Hardwick, Mat",NB,2,0,1,1,1,0,0
436,LW,91,,*,"Sop, Matthew",KIT,2,0,1,1,0,0,0
437,G,32,,,"Lamour, Cameron",NB,16,0,1,1,0,4,0
438,G,30,,,"Austin, Tye",PBO,17,0,1,1,0,0,0
439,G,31,,,"Pfeil, Lucas",KIT,19,0,1,1,0,2,0
440,G,37,,,"Cavallin, Luke",FLNT,20,0,1,1,0,0,0
441,D,2,,,"Campbell, Colin",GUE,23,0,1,1,0,4,0
442,G,31,,,"Myskiw, Dylan",LDN,23,0,1,1,0,0,0
443,G,31,,*,"Bennett, Owen",GUE,27,0,1,1,0,0,0
444,G,70,,*,"Gaudreau, Benjamin",SAR,28,0,1,1,0,4,0
445,G,1,,,"Piiroinen, Kari",WSR,30,0,1,1,0,0,0
446,G,70,,,"Weeks, Mitchell",SBY,30,0,1,1,0,0,0
447,G,40,,,"Brkin, Bailey",SOO,31,0,1,1,0,7,0
448,G,31,,,"Kooy, Jordan",OSH,32,0,1,1,0,2,0
449,G,31,,,"Roy, Zachary",HAM,33,0,1,1,0,2,0
450,G,33,,,"Langevin, Ethan",SAR,36,0,1,1,0,0,0
451,G,30,,*,"Brochu, Brett",LDN,42,0,1,1,0,0,0
452,G,33,,,"Propp, Christian",KGN,42,0,1,1,0,4,0
453,D,2,,,"Rupoli, Joseph",WSR,42,0,1,1,-13,30,0
454,G,1,,*,"Vrbetic, Joe",NB,42,0,1,1,0,4,0
455,G,30,,,"Andree, Cedrick",OTT,43,0,1,1,0,0,0
456,G,1,,,"Murphy, Daniel",ER,43,0,1,1,0,0,0
457,RW,15,,,"Brown, Patrick",NB,1,0,0,0,0,0,0
458,C,6,,,"Chantler, Jacob",LDN,1,0,0,0,0,0,0
459,LW,26,,*,"Dann, Nolan",SAR,1,0,0,0,1,0,0
460,G,30,,,"Dekoning, Nolan",SAR,1,0,0,0,0,0,0
461,G,88,,*,"Grainer, Peyton",FLNT,1,0,0,0,0,0,0
462,C,44,,,"Maltais, Brady",SBY,1,0,0,0,0,2,0
463,C,14,,*,"Way, Cooper",OSH,1,0,0,0,0,2,0
464,G,34,,,"Bowen, David",SBY,2,0,0,0,0,0,0
465,RW,38,,*,"Bowman, Braeden",GUE,2,0,0,0,0,0,0
466,G,45,,,"Drobac, Matteo",HAM,2,0,0,0,0,2,0
467,G,1,,*,"Onuska, Mathias",LDN,2,0,0,0,0,0,0
468,G,30,,*,"Proulx, Reece",NB,2,0,0,0,0,2,0
469,C,12,,,"Smith, Ryan",SBY,2,0,0,0,0,0,0
470,G,30,,,"Torchia, Nathan",KIT,2,0,0,0,0,0,0
471,G,31,,*,"Tovell, Matt",WSR,2,0,0,0,0,0,0
472,D,77,,*,"Jodoin, James",WSR,4,0,0,0,0,0,0
473,D,24,,*,"Mailloux, Logan",LDN,4,0,0,0,-2,2,0
474,RW,18,,*,"Patey, Cole",PBO,4,0,0,0,0,0,0
475,G,34,,*,"Rosenzweig, Josh",NIAG,4,0,0,0,0,0,0
476,RW,23,,,"Jacklin, Brett",SBY,5,0,0,0,0,11,0
477,D,6,,*,"Hollett, Ty",NB,6,0,0,0,1,7,0
478,D,6,,*,"Pitt, Riley",OSH,6,0,0,0,2,0,0
479,G,35,,,"Cicigoi, Christian",NB,7,0,0,0,0,0,0
480,D,4,,*,"Kavanagh, Josh",PBO,8,0,0,0,0,0,0
481,D,5,,*,"Gill-Shane, Ranvir",OTT,9,0,0,0,3,4,0
482,G,31,,,"Ranger, Joe",MISS,11,0,0,0,0,0,0
483,G,33,,,"Taylor, Ethan",SOO,12,0,0,0,0,0,0
484,G,31,,*,"Chenard, Nick",OS,13,0,0,0,0,0,0
485,G,31,,,"Malik, Nick",SOO,16,0,0,0,0,0,0
486,D,22,,,"Jenkins, Frank",HAM,18,0,0,0,-6,4,0
487,G,31,,*,"Cranley, Will",OTT,21,0,0,0,0,2,0
488,D,15,,*,"Kyrou, Christian",ER,21,0,0,0,-4,2,0
489,G,1,,*,"Tynan, Tucker",NIAG,23,0,0,0,0,2,0
490,G,37,,,"Sbaraglia, Christian",NIAG,24,0,0,0,0,5,0
491,G,31,,*,"Campbell, Aidan",ER,26,0,0,0,0,0,0
492,G,29,,,"Dugas, Ryan",KGN,32,0,0,0,0,4,0
493,G,31,,,"Frappier, Marshall",SAG,32,0,0,0,0,0,0
494,G,33,,,"Paputsakis, Zachary",OSH,32,0,0,0,0,2,0
495,G,31,,,"Greaves, Jet",BAR,33,0,0,0,0,0,0
496,G,33,,*,"Costantini, Marco",HAM,34,0,0,0,0,2,0
497,G,30,,,"Silovs, Arturs",BAR,36,0,0,0,0,16,0
498,G,30,,*,"Medina, Xavier",WSR,37,0,0,0,0,0,0
499,G,30,,,"MacLean, Andrew",NIAG,39,0,0,0,0,2,0
500,G,1,,,"Purboo, Christian",SBY,45,0,0,0,0,0,0
501,G,29,,,"Jones, Hunter",PBO,49,0,0,0,0,4,0
502,RW,61,X,,"Singer, Danial",ER,31,9,7,16,-2,10,0
503,LW,21,X,,"Berka, Marek",SAR,20,3,4,7,-4,4,0
504,LW,25,X,,"Golovatchev, Dennis",KGN,26,3,4,7,-4,8,0
505,RW,17,X,,"Nizhnikov, Kirill",OS,10,4,2,6,-1,2,2
506,RW,11,X,,"Tortora, Jacob",BAR,12,2,4,6,-1,7,1
507,LW,12,X,,"Drewitt, Luke",KGN,21,3,1,4,-4,4,1
508,LW,26,X,*,"Smith, Oliver",BAR,5,1,1,2,2,0,0
509,D,49,X,,"Beamish, Luke",ER,13,0,2,2,-1,4,0
510,C,93,X,,"Holmes, Hunter",FLNT,15,0,2,2,-8,17,0
511,LW,23,X,,"Christner, Callan",MISS,5,0,1,1,-2,7,0
512,C,96,X,,"Gritz, Alex",ER,5,0,1,1,-1,0,0
513,RW,20,X,,"Martin, Ian",KGN,5,0,1,1,0,0,0
514,C,92,X,,"Rhodes, Sam",BAR,9,0,1,1,0,2,0
515,D,8,X,,"Gordon, Emmett",KGN,15,0,1,1,-3,9,0
516,G,32,X,,"Wickware, Tanner",GUE,2,0,0,0,0,0,0
517,D,42,X,,"Davis, Hayden",MISS,10,0,0,0,-12,6,0
518,G,35,X,,"Bonello, Brendan",KGN,12,0,0,0,0,0,0
