Rank,Pos,Number,Inactive,Rookie,Name,Team,GP,G,A,PTS,PM,PIM,PPG
85,C,26,,,"Pytlik, Jaromir",SOO,56,22,28,50,5,36,8
86,C,14,,,"Carson, Macauley",SBY,63,22,28,50,3,71,6
87,LW,14,,,"Kirk, Liam",PBO,47,21,29,50,17,25,7
88,D,9,,,"Calisti, Robert",SOO,64,18,32,50,-14,64,9
89,C,84,,,"Bertuzzi, Tag",HAM,57,25,22,47,-29,23,8
90,RW,11,,,"Cardwell, Ethan",BAR,63,23,24,47,-2,41,5
91,RW,23,,,"Brown, Aidan",BAR,57,20,27,47,1,77,4
92,RW,14,,,"Noel, Serron",KIT,48,18,29,47,-7,36,4
93,D,4,,,"Drysdale, Jamie",ER,49,9,38,47,9,24,3
94,RW,71,,,"Sopa, Kyen",ER,52,19,27,46,-16,50,6
95,LW,18,,,"Robinson, Owen",SBY,63,15,31,46,2,16,3
96,C,15,,,"MacLean, Kyle",OSH,51,13,33,46,-1,64,4
97,C,9,,,"Morrison, Logan",HAM,59,23,22,45,-33,18,9
98,C,21,,,"Swankler, Austen",ER,59,18,27,45,9,61,3
99,RW,26,,,"Purboo, Cole",WSR,59,20,24,44,2,16,5
100,LW,3,,,"Whittaker, Richard",MISS,57,19,25,44,13,78,2
101,C,41,,,"Vierling, Evan",BAR,43,14,30,44,-9,12,1
102,D,12,,,"Millman, Mason",SAG,58,13,31,44,31,61,2
103,LW,17,,,"Petizian, Mike",KIT,63,21,22,43,20,36,1
104,RW,12,,,"Stevenson, Keegan",GUE,63,21,22,43,4,27,8
105,RW,10,,,"Roberts, Connor",FLNT,61,18,25,43,-3,28,2
106,C,14,,,"Frasca, Jordan",KGN,58,15,28,43,-27,45,3
107,C,93,,,"Foudy, Jean-Luc",WSR,59,15,28,43,-7,12,3
108,RW,20,,,"Peca, Jaden",SOO,63,15,28,43,-10,69,3
109,C,23,,*,"McTavish, Mason",PBO,57,29,13,42,-4,31,5
110,LW,13,,,"Cuylle, Will",WSR,62,22,20,42,-2,37,7
111,RW,27,,,"Russell, Mitchell",NB,51,21,21,42,-29,37,4
112,RW,25,,*,"McDonnell, Declan",KIT,63,21,21,42,8,28,6
113,RW,14,,,"Fowler, Hayden",ER,52,20,22,42,-11,78,8
114,C,22,,,"McMaster, Adam",OS,60,19,23,42,-7,2,4
115,LW,16,,,"Tabak, Anthony",BAR,67,11,31,42,-13,49,0
116,C,71,,*,"Pinelli, Francesco",KIT,59,18,23,41,15,18,5
117,D,44,,,"Staios, Nathan",HAM,60,6,35,41,-20,59,3
118,LW,19,,,"Carroll, Joe",SOO,52,25,15,40,3,33,7
119,RW,15,,,"Martin, Calvin",MISS,56,19,21,40,-7,23,2
120,LW,40,,,"Stranges, Antonio",LDN,61,19,21,40,-2,16,2
121,LW,12,,,"Canade, Nicholas",MISS,51,17,23,40,15,60,2
122,C,20,,,"Jenkins, Blade",SAG,47,16,24,40,12,18,3
123,LW,71,,*,"Dickinson, Tanner",SOO,64,9,31,40,-12,22,2
124,D,2,,,"Solovyov, Ilya",SAG,53,7,33,40,43,35,1
125,LW,55,,,"Valade, Reid",KIT,52,18,21,39,13,57,1
126,LW,14,,,"Guy, Brayden",SAR,59,16,23,39,-31,34,7
127,D,43,,,"Henault, Louka",WSR,62,1,38,39,11,38,0
128,D,55,,*,"Clarke, Brandt",BAR,57,6,32,38,-6,38,0
129,C,44,,*,"Harrison, Brett",OSH,58,21,16,37,-21,8,7
130,C,27,,,"Nelson, Josh",BAR,65,16,21,37,-1,6,0
131,LW,22,,,"Bignell, Luke",BAR,54,14,23,37,-1,68,4
132,D,21,,,"O'Rourke, Ryan",SOO,54,7,30,37,16,79,4
133,D,22,,,"Brahaney, Jakob",KGN,60,4,33,37,-28,57,2
134,RW,61,,,"Boka, Luke",WSR,59,17,19,36,15,33,1
135,LW,27,,,"Katic, Danny",SAG,62,13,23,36,7,63,1
136,C,14,,,"Ralph, Cedric",GUE,46,19,16,35,-7,11,7
137,C,92,,,"Antropov, Danil",SAG,61,12,23,35,-9,32,2
138,RW,19,,,"Piercey, Riley",FLNT,62,17,17,34,-8,43,3
139,LW,81,,*,"Pinchuk, Vitali",KGN,54,13,21,34,-12,12,2
140,RW,61,,*,"Stillman, Chase",SBY,58,13,21,34,0,63,0
141,C,17,,,"Dunkley, Nathan",LDN,62,13,21,34,-3,53,1
142,D,5,,,"Chayka, Daniil",GUE,56,11,23,34,9,18,2
143,LW,78,,*,"Othmann, Brennan",FLNT,55,17,16,33,3,36,3
144,C,73,,,"Uberti, Jake",NIAG,57,17,16,33,-33,40,6
145,RW,51,,,"Gilhula, Owen",SBY,51,14,19,33,9,26,2
146,RW,42,,,"Goldowski, Jake",SAG,62,14,19,33,7,22,2
147,C,28,,,"Grondin, Max",PBO,60,13,20,33,15,79,0
148,D,18,,,"Kolyachonok, Vladislav",FLNT,53,12,21,33,19,22,0
149,C,94,,,"Prueter, Aidan",MISS,55,12,21,33,-8,45,3
150,LW,8,,*,"Chromiak, Martin",KGN,28,11,22,33,0,2,4
151,D,2,,,"Robertson, Carter",OS,62,11,22,33,5,71,6
152,D,66,,,"Gross, Nico",OSH,53,9,24,33,-3,62,5
153,D,72,,,"Allensen, Nathan",BAR,55,8,25,33,5,56,2
154,LW,81,,,"Van Loon, Liam",HAM,56,3,30,33,7,45,1
155,RW,17,,,"D'Amato, Daniel",ER,63,18,14,32,15,21,1
156,RW,12,,,"Butler, Cameron",NIAG,66,18,14,32,-45,45,8
157,RW,67,,,"Wong, Nick",KGN,61,14,18,32,-35,16,7
158,D,22,,,"Thompson, Jack",SBY,63,13,19,32,-9,20,3
159,RW,19,,*,"Suni, Oliver",OSH,43,12,20,32,-7,6,6
160,LW,41,,,"Bitten, Sam",SAR,52,12,20,32,-23,27,2
161,D,26,,,"Belanger, Alec",OTT,61,10,22,32,22,20,2
162,D,83,,,"Skinner, Hunter",LDN,62,6,26,32,22,51,1
163,D,29,,,"Gordeev, Fedor",GUE,51,4,28,32,3,40,2
164,D,7,,,"Landry, Kade",HAM,59,4,28,32,-7,43,1
165,D,88,,,"Bahl, Kevin",OTT,54,6,25,31,40,83,1
166,D,8,,,"LeGuerrier, Jacob",SOO,61,6,25,31,4,74,0
167,D,88,,*,"Rafkin, Ruben",WSR,59,4,27,31,3,61,1
168,D,24,,,"Ham, Liam",MISS,57,3,28,31,4,74,0
169,LW,77,,,"Guskov, Matvey",LDN,62,16,14,30,6,48,1
170,C,55,,*,"Johnston, Wyatt",WSR,53,12,18,30,14,8,0
171,D,37,,,"Sebrango, Donovan",KIT,56,6,24,30,0,33,1
172,D,51,,,"Vukojevic, Michael",KIT,63,5,25,30,15,63,0
173,D,16,,,"Grima, Nick",NB,54,3,27,30,-30,61,1
174,LW,18,,,"Philip, Matthew",OS,48,19,10,29,5,22,2
175,LW,92,,,"Keppen, Ethan",FLNT,44,16,13,29,-16,31,4
176,RW,13,,,"Hayes, Avery",HAM,42,15,14,29,-16,8,2
177,LW,19,,,"Duhart, Dalton",SAG,58,14,15,29,4,24,0
178,LW,44,,,"Sellan, Brendan",ER,63,13,16,29,-2,18,3
179,D,55,,,"Hjorth, Eric",SAR,60,12,17,29,-22,26,2
180,D,45,,,"Hunter, Drew",ER,59,3,26,29,-5,34,0
181,C,9,,,"Phibbs, Jack",FLNT,61,16,12,28,13,16,0
182,LW,21,,,"Hutcheson, Nolan",SBY,55,15,13,28,5,41,2
183,RW,27,,,"Hinz, Brady",PBO,58,15,13,28,1,28,4
184,RW,96,,*,"Voit, Ty",SAR,49,8,20,28,-9,6,1
185,D,10,,,"King, Nick",KGN,54,8,20,28,-41,31,3
186,LW,18,,,"Hutton, Dustin",KGN,51,6,22,28,-3,10,0
187,D,12,,,"Moore, Lleyton",OSH,57,6,22,28,3,10,2
188,RW,25,,,"Groulx, Daylon",OTT,60,16,11,27,1,118,4
189,C,76,,,"Moskal, Billy",LDN,58,13,14,27,16,39,1
190,RW,71,,,"Collins, Ty",MISS,59,13,14,27,-6,33,1
191,C,73,,*,"Lockhart, Connor",ER,57,9,18,27,-16,16,4
192,C,26,,,"Baber, Camaryn",SAG,59,9,18,27,1,22,0
193,D,11,,,"Busby, Dennis",FLNT,63,5,22,27,5,33,1
194,D,5,,,"Golden, Jacob",ER,48,4,23,27,-9,8,1
195,D,8,,,"Perrott, Andrew",OS,62,4,23,27,15,66,1
196,D,11,,,"Vallati, Giovanni",OSH,61,1,26,27,10,49,0
197,RW,11,,,"Nurse, Isaac",HAM,31,15,11,26,-1,17,2
198,C,15,,,"Johnston, Alex",SOO,64,12,14,26,1,22,0
199,D,7,,,"Phillips, Isaak",SBY,63,9,17,26,4,27,1
200,LW,6,,,"Hadfield, Victor",BAR,46,8,18,26,4,26,0
201,C,19,,*,"Mysak, Jan",HAM,22,15,10,25,-12,10,4
202,LW,93,,,"Sproule, Emmett",ER,63,12,13,25,-13,10,1
203,C,7,,*,"Goure, Deni",OS,62,11,14,25,-10,4,3
204,RW,16,,,"Stepien, Ryan",OSH,61,9,16,25,-2,22,0
205,D,57,,,"Gravelle, Jake",HAM,57,4,21,25,-2,63,1
206,D,21,,,"Lalonde, Owen",FLNT,57,2,23,25,0,18,0
207,D,27,,,"Serensits, Emmett",SBY,63,1,24,25,11,45,0
208,LW,9,,,"Baker, Dawson",KGN,61,19,5,24,-27,107,3
209,C,28,,,"Bruder, Andrew",NIAG,56,8,16,24,-35,47,2
210,D,25,,,"Loponen, Kalle",SBY,56,6,18,24,5,29,4
211,C,27,,*,"Winterton, Ryan",HAM,53,12,11,23,-15,8,5
212,C,27,,,"Roach, Jacob",GUE,60,12,11,23,-6,44,1
213,RW,91,,,"Hoffmann, Brendan",ER,62,12,11,23,7,52,0
214,C,16,,,"Hill, Theo",SAR,53,11,12,23,-10,42,1
