#,Team,GP,W,L,OTL,SOL,PTS,PCT,ROW,GF,GA,Streak,P10,PIM
1,Ottawa 67'S,62,50,11,0,1,101,0.815,47,296,164,7-0-0-0,8-2-0-0,664
3,Saginaw Spirit,62,41,16,3,2,87,0.702,41,289,225,8-0-1-0,8-1-1-0,651
5,Flint Firebirds,63,40,21,1,1,82,0.651,38,274,243,0-1-0-0,6-4-0-0,566
2,London Knights,62,45,15,1,1,92,0.742,45,265,187,7-0-0-0,9-1-0-0,673
4,Kitchener Rangers,63,40,16,5,2,87,0.69,36,264,213,2-0-0-0,7-3-0-0,756
10,Sudbury Wolves,63,34,27,1,1,70,0.556,33,259,240,1-0-0-0,6-3-0-1,796
7,Windsor Spitfires,62,34,20,8,0,76,0.613,30,256,233,0-1-2-0,2-5-3-0,637
14,Soo Greyhounds,64,29,31,3,1,62,0.484,28,253,257,3-0-0-0,4-4-1-1,758
6,Peterborough Petes,62,37,21,2,2,78,0.629,37,250,198,4-0-0-1,7-2-0-1,780
17,Sarnia Sting,62,22,34,5,1,50,0.403,21,244,299,1-0-0-0,5-5-0-0,720
16,Hamilton Bulldogs,62,24,30,7,1,56,0.452,21,235,267,0-5-1-0,3-6-1-0,719
11,Owen Sound Attack,62,30,24,4,4,68,0.548,28,235,207,0-2-0-0,4-4-1-1,624
13,Erie Otters,63,26,26,4,7,63,0.5,24,229,236,0-1-0-0,4-6-0-0,672
8,Oshawa Generals,62,31,20,6,5,73,0.589,30,229,227,0-2-1-1,4-2-2-2,648
15,Mississauga Steelheads,61,27,29,4,1,59,0.484,24,223,227,0-1-0-0,4-5-1-0,694
12,Barrie Colts,63,29,28,4,2,64,0.508,26,220,261,1-0-0-0,4-5-1-0,830
9,Guelph Storm,63,32,23,3,5,72,0.571,28,218,209,0-2-0-0,5-4-1-0,543
18,Kingston Frontenacs,62,19,39,2,2,42,0.339,16,198,285,0-4-0-0,2-8-0-0,674
19,Niagara IceDogs,63,18,39,5,1,42,0.333,15,194,320,0-5-0-0,1-8-1-0,712
20,North Bay Battalion,62,17,41,4,0,38,0.306,17,189,314,0-2-0-0,6-3-1-0,698
